date,aphanizomenon,askenasia,asplanchna,asterionella,aulacoseira,bosmina,centric_diatom,ceratium,chaoborus,chlorophyte,chlorophyte_colonial_dividing,chlorophyte_elongated,chlorophyte_frame,chlorophyte_square,chroococcales,chydorus,ciliate,ciliate_big,ciliate_blue,ciliate_green,ciliate_round,closterium,coelastrum_reticulatum,coelosphaerium,coleps,collotheca,conochilus,cosmarium,cryptophyte,cyanobacteria_colonial_blue,cyanobacteria_colonial_clathrate,cyanobacteria_colonial_probably,cyanobacteria_filamentous,cyclops,daphnia,daphnia_cucullata,diaphanosoma,didinium,dinobryon,dinoflagellate_diamond,dolichospermum,eudiaptomus,fragilaria,gonium,gymnodinium,kellicottia,keratella_cochlearis,keratella_quadrata,leptodora,limnoraphis,mallomonas_akrokomos,mallomonas_big,nauplius,oocystaceae,pandorina,paradileptus,pediastrum,pennate_diatom,peridinium,phacotus,plankton_x,plankton_y,plankton_z,planktosphaeria,polyarthra,protist_like_ciliate,rhodomonas,rotifer,rotifer_long,rotifer_z,scenedesmus,snowella,staurastrum,strombidium,synchaeta,synedra,synedra_angustissima,synura,tetraedron,tintinnid,trichocerca,uroglena,vorticella_epistylis_like
2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-26,2.083333333333e-06,0.0,2.0833333333333e-05,0.0,0.00016041666666666648,2.0833333333333e-05,0.00156944444444444,4.1666666666665e-06,0.0,0.00482638888888889,0.00145138888888889,0.00020138888888888,1.388888888888e-05,0.00013194444444444001,3.472222222222e-05,0.0,0.0,0.0,0.00020833333333332999,0.0,9.722222222222e-05,2.0833333333330002e-05,1.388888888888e-05,0.0,0.0,0.0,4.1666666666665e-06,0.00021527777777777002,0.0226597222222222,3.472222222222e-05,0.0,3.472222222222e-05,0.0,0.0004979166666666665,8.125e-05,0.0,0.0,0.0,1.4583333333333e-05,0.00146527777777778,0.0,0.00015625,1.04166666666665e-05,0.0,0.00038888888888888,0.000125,6.66666666666665e-05,0.0002229166666666665,4.1666666666665e-06,0.0,0.00022916666666666,8.333333333333e-05,0.00056875,0.0006388888888888799,2.0833333333330002e-05,0.0,6.9444444444444405e-06,0.00013888888888888,9.027777777777e-05,0.00010416666666666,0.0,4.1666666666660004e-05,0.00013888888888888,2.0833333333330002e-05,5.83333333333335e-05,0.00030555555555555,0.0041875,0.0009562500000000001,0.0,0.0,2.777777777777e-05,0.0,0.000125,1.388888888888e-05,0.00012916666666666648,2.777777777777e-05,0.0,0.0,2.0833333333330002e-05,2.777777777777e-05,1.4583333333333e-05,1.66666666666665e-05,9.722222222222e-05
2019-03-27,2.083333333333e-06,6.9444444444444405e-06,2.7083333333333e-05,2.083333333333e-06,7.08333333333335e-05,1.04166666666665e-05,0.00077777777777777,8.333333333333e-06,0.0,0.00717361111111111,0.00234027777777778,0.00025,1.388888888888e-05,0.00013888888888888,5.555555555555e-05,0.0,6.9444444444444405e-06,0.0,0.00030555555555555,0.0,4.861111111111e-05,3.472222222222e-05,0.0,0.0,0.0,4.1666666666665e-06,2.0833333333333e-05,0.00019444444444444,0.0296388888888889,4.1666666666660004e-05,0.0,1.388888888888e-05,0.0,0.000539583333333335,5.83333333333335e-05,0.0,0.0,6.9444444444444405e-06,2.5e-05,0.00099305555555555,0.0,0.00021874999999999998,8.333333333333e-06,0.0,0.00075,0.0002020833333333335,7.91666666666665e-05,9.79166666666665e-05,2.083333333333e-06,0.0,0.0003125,0.00010416666666666,0.0008437500000000001,0.0007847222222222201,4.1666666666660004e-05,4.1666666666665e-06,6.9444444444444405e-06,0.00011111111111111,3.472222222222e-05,0.00010416666666666,0.0,6.944444444444e-05,0.00016666666666666,6.9444444444444405e-06,0.0001666666666666665,0.00034027777777776997,0.0049236111111111095,0.001670833333333335,0.0,0.0,6.9444444444444405e-06,0.0,0.00017361111111111,1.388888888888e-05,0.00014166666666666651,0.0,2.083333333333e-06,0.0,2.0833333333330002e-05,2.777777777777e-05,4.1666666666665e-06,2.0833333333333e-05,7.638888888888e-05
2019-03-28,2.083333333333e-06,1.388888888888e-05,2.29166666666665e-05,1.4583333333333e-05,9.79166666666665e-05,8.333333333333e-06,0.001125,4.1666666666665e-06,0.0,0.0057013888888888895,0.00160416666666667,0.00030555555555555,6.9444444444444405e-06,0.000125,5.555555555555e-05,0.0,2.0833333333330002e-05,0.0,0.000375,6.9444444444444405e-06,0.00010416666666666,3.472222222222e-05,6.9444444444444405e-06,0.0,6.9444444444444405e-06,4.1666666666665e-06,1.25e-05,0.00015972222222222,0.0159166666666667,2.0833333333330002e-05,0.0,2.0833333333330002e-05,0.0,0.000475,2.91666666666665e-05,0.0,0.0,6.9444444444444405e-06,1.875e-05,0.00129861111111111,0.0,0.0002895833333333335,2.0833333333333e-05,0.0,0.00072222222222222,0.0001666666666666665,9.58333333333335e-05,0.0002770833333333335,0.0,0.0,0.00022222222222222,9.722222222222e-05,0.0007708333333333351,0.00056944444444444,4.861111111111e-05,6.25e-06,0.0,0.00013888888888888,4.1666666666660004e-05,6.944444444444e-05,0.0,9.722222222222e-05,3.472222222222e-05,6.9444444444444405e-06,0.00011041666666666649,0.00032638888888888003,0.00243055555555556,0.0013875,0.0,0.0,1.388888888888e-05,0.0,0.00013194444444444001,2.0833333333330002e-05,0.0001333333333333335,0.0,0.0,0.0,2.0833333333330002e-05,3.472222222222e-05,1.66666666666665e-05,6.25e-06,9.027777777777e-05
2019-03-29,4.1666666666665e-06,1.388888888888e-05,2.0833333333333e-05,1.04166666666665e-05,0.00010625000000000001,6.25e-06,0.00081944444444444,2.083333333333e-06,0.0,0.0068263888888888905,0.0020902777777777803,0.00031944444444444,2.777777777777e-05,0.00013888888888888,0.00015277777777777,0.0,0.0,0.0,0.00030555555555555,0.0,0.00011805555555555,3.472222222222e-05,6.9444444444444405e-06,1.388888888888e-05,0.0,2.083333333333e-06,0.0,0.00011805555555555,0.020055555555555597,6.25e-05,0.0,0.0,0.0,0.0004583333333333335,3.125e-05,0.0,0.0,6.9444444444444405e-06,1.66666666666665e-05,0.00138194444444444,0.0,0.00020625,8.333333333333e-06,0.0,0.00080555555555555,0.00015625,7.70833333333335e-05,0.0001541666666666665,0.0,0.0,0.00028472222222221996,0.00011805555555555,0.000685416666666665,0.00072916666666666,3.472222222222e-05,4.1666666666665e-06,6.9444444444444405e-06,9.027777777777e-05,6.25e-05,0.00013194444444444001,0.0,7.638888888888e-05,0.00013194444444444001,6.9444444444444405e-06,0.00016875,0.00026388888888888003,0.00404166666666667,0.0017833333333333351,0.0,0.0,2.777777777777e-05,0.0,0.00011805555555555,6.9444444444444405e-06,8.54166666666665e-05,1.388888888888e-05,2.083333333333e-06,0.0,6.25e-05,6.9444444444444405e-06,1.875e-05,1.04166666666665e-05,7.638888888888e-05
2019-03-30,1.25e-05,0.0,3.9583333333333e-05,6.25e-06,4.16666666666665e-05,1.4583333333333e-05,0.00043750000000000006,0.0,0.0,0.00960416666666667,0.0025763888888888898,0.00043750000000000006,1.388888888888e-05,0.00011805555555555,9.722222222222e-05,0.0,6.9444444444444405e-06,0.0,0.00046527777777777003,0.0,3.472222222222e-05,3.472222222222e-05,0.0,0.0,1.388888888888e-05,2.083333333333e-06,8.333333333333e-06,0.00024305555555555002,0.055659722222222194,3.472222222222e-05,0.0,2.0833333333330002e-05,0.0,0.001566666666666665,0.00016041666666666648,0.0,6.25e-06,0.0,5e-05,0.00085416666666666,0.0,0.0003416666666666665,0.0,0.0,0.001,0.0001166666666666665,3.3333333333333e-05,2.91666666666665e-05,1.04166666666665e-05,0.0,0.00059722222222222,0.000125,0.001016666666666665,0.00099999999999999,1.388888888888e-05,1.25e-05,6.9444444444444405e-06,8.333333333333e-05,2.777777777777e-05,0.000125,0.0,7.638888888888e-05,0.00028472222222221996,0.0,0.0001354166666666665,0.00029166666666666,0.0144027777777778,0.001275,0.0,0.0,0.0,0.0,0.00015277777777777,1.388888888888e-05,1.04166666666665e-05,2.777777777777e-05,0.0,0.0,6.25e-05,6.9444444444444405e-06,1.66666666666665e-05,6.25e-06,4.861111111111e-05
